CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JH117298,01/16/2024 01:00:00 AM,038XX W DIVERSEY AVE,0810,THEFT,OVER $500,STREET,N,N,2524,35,06,1150337,1918345,41.931843966,-87.722950868,"(41.931843966, -87.722950868)"
JG561057,12/31/2023 04:30:00 PM,004XX N WABASH AVE,0460,BATTERY,SIMPLE,STREET,N,N,1834,42,08B,1176592,1902931,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
JG512939,11/21/2023 02:28:00 PM,056XX S ELIZABETH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),N,N,713,16,15,1168951,1867382,41.791613294,-87.656024853,"(41.791613294, -87.656024853)"
JG496628,11/08/2023 03:27:00 PM,059XX N GLENWOOD AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,Y,N,2013,48,08B,1165910,1939379,41.989243623,-87.665119726,"(41.989243623, -87.665119726)"
JG512358,11/21/2023 02:12:00 AM,049XX W SCHUBERT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,2521,31,14,1143030,1917505,41.929678531,-87.749824286,"(41.929678531, -87.749824286)"
JG496031,11/08/2023 07:00:00 AM,075XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,N,411,8,08B,1188234,1855158,41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
JG512359,11/21/2023 01:38:00 AM,002XX W 37TH PL,0560,ASSAULT,SIMPLE,APARTMENT,Y,Y,915,3,08A,1175127,1880095,41.826363218,-87.632998863,"(41.826363218, -87.632998863)"
JG444480,09/30/2023 01:50:00 AM,034XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,1133,24,08B,1153640,1896821,41.872714939,-87.711386229,"(41.872714939, -87.711386229)"
JG519372,11/17/2023 04:30:00 PM,004XX N PINE AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,1523,37,03,1139464,1902305,41.888033817,-87.763299736,"(41.888033817, -87.763299736)"
JG483237,10/28/2023 07:30:00 PM,068XX S DR MARTIN LUTHER KING JR DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,322,6,07,1180091,1860009,41.771132967,-87.615402602,"(41.771132967, -87.615402602)"
JG514652,11/22/2023 12:00:00 AM,003XX S DAMEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1225,27,14,1163119,1898512,41.877161446,-87.676536946,"(41.877161446, -87.676536946)"
JG496999,11/08/2023 08:26:00 PM,047XX W FULLERTON AVE,0460,BATTERY,SIMPLE,OTHER (SPECIFY),N,N,2521,31,08B,1144208,1915535,41.924250576,-87.745545036,"(41.924250576, -87.745545036)"
JG513533,11/21/2023 09:00:00 PM,031XX W MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,831,15,14,1156790,1860035,41.771706314,-87.700815349,"(41.771706314, -87.700815349)"
JG512397,11/21/2023 04:25:00 AM,016XX N KILDARE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,Y,Y,2534,36,26,1147477,1910410,41.910124959,-87.733664937,"(41.910124959, -87.733664937)"
JG515146,11/21/2023 02:30:00 PM,020XX W FARGO AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2424,49,06,1161568,1949266,42.016465687,-87.680813065,"(42.016465687, -87.680813065)"
